"","V237","V10","V253","V22","V11","V46","V68"
"2","25","Quite happy","Eigth step","7","Good","9","4"
"5","34","Quite happy","Tenth step","9","Very good","9","9"
"11","50","Not very happy","Tenth step","7","Very good","6","6"
"12","66","Quite happy","second step","6","Fair","4","6"
"13","45","Quite happy","Eigth step","8","Fair","8","7"
"15","38","Quite happy","Tenth step","8","Very good","7","3"
"16","48","Quite happy","Tenth step","5","Good","6","5"
"17","21","Quite happy","Nineth step","9","Very good","7","5"
"18","33","Quite happy","Nineth step","7","Very good","7","6"
"19","22","Quite happy","Tenth step","8","Very good","7","2"
"21","32","Quite happy","Fifth step","7","Very good","8","3"
"22","28","Quite happy","Tenth step","8","Very good","8","9"
"23","42","Quite happy","Nineth step","8","Very good","8","4"
"25","40","Quite happy","Tenth step","9","Very good","9","9"
"26","44","Quite happy","Tenth step","9","Good","9","8"
"27","62","Quite happy","Eigth step","9","Fair","4","7"
"28","32","Quite happy","Tenth step","8","Very good","7","7"
"29","42","Not very happy","Tenth step","2","Very good","8","8"
"30","68","Quite happy","Lower step","8","Fair","6","6"
"31","29","Very happy","Lower step","8","Good","A great deal","2"
"32","68","Very happy","Sixth step","Satisfied","Good","A great deal","Satisfied"
"33","31","Quite happy","Seventh step","8","Good","9","8"
"34","41","Very happy","Eigth step","9","Very good","8","7"
"35","37","Very happy","Eigth step","9","Very good","8","6"
"36","32","Not at all happy","Tenth step","Dissatisfied","Good","A great deal","6"
"37","32","Not very happy","Nineth step","8","Good","9","Dissatisfied"
"38","34","Quite happy","Sixth step","5","Very good","9","5"
"39","21","Very happy","Seventh step","Satisfied","Very good","A great deal","Satisfied"
"40","20","Quite happy","second step","Satisfied","Good","7","5"
"41","31","Very happy","Eigth step","Satisfied","Very good","8","3"
"42","18","Quite happy","Tenth step","8","Very good","8","Satisfied"
"43","18","Not at all happy","Eigth step","Dissatisfied","Poor","A great deal","Dissatisfied"
"44","28","Quite happy","Fifth step","3","Good","7","Dissatisfied"
"45","34","Quite happy","Eigth step","8","Good","8","3"
"46","23","Very happy","Tenth step","Satisfied","Very good","A great deal","Satisfied"
"47","31","Quite happy","Nineth step","6","Good","8","6"
"48","38","Quite happy","Nineth step","7","Good","9","8"
"49","51","Quite happy","Nineth step","8","Good","7","8"
"50","36","Quite happy","Tenth step","8","Fair","4","2"
"51","62","Very happy","Eigth step","Satisfied","Fair","A great deal","Satisfied"
"52","30","Very happy","Fourth step","7","Very good","8","7"
"53","29","Quite happy","Eigth step","7","Very good","9","5"
"54","33","Quite happy","Nineth step","8","Fair","9","4"
"55","40","Quite happy","Seventh step","9","Very good","A great deal","8"
"56","38","Quite happy","Tenth step","6","Good","9","Dissatisfied"
"58","38","Quite happy","Eigth step","7","Fair","9","7"
"59","36","Quite happy","Eigth step","8","Very good","9","7"
"61","42","Very happy","Tenth step","7","Very good","5","Satisfied"
"62","41","Quite happy","Nineth step","4","Good","6","2"
"63","30","Not very happy","Eigth step","3","Good","7","3"
"64","33","Quite happy","Eigth step","7","Fair","7","9"
"65","27","Very happy","Tenth step","Satisfied","Good","A great deal","Satisfied"
"66","23","Quite happy","Seventh step","8","Good","5","3"
"67","32","Very happy","Tenth step","9","Good","8","5"
"68","38","Quite happy","Sixth step","9","Fair","9","3"
"69","29","Not very happy","Nineth step","5","Good","A great deal","Dissatisfied"
"70","38","Quite happy","Nineth step","6","Good","A great deal","2"
"71","35","Not very happy","Seventh step","6","Good","8","3"
"72","28","Quite happy","Eigth step","7","Very good","A great deal","4"
"73","35","Quite happy","Eigth step","9","Good","9","8"
"74","29","Quite happy","Tenth step","9","Very good","A great deal","9"
"75","28","Not very happy","Fifth step","4","Very good","9","2"
"76","44","Quite happy","Tenth step","9","Good","8","8"
"77","46","Quite happy","Eigth step","5","Fair","4","6"
"78","37","Quite happy","Nineth step","9","Good","8","8"
"79","29","Very happy","Nineth step","9","Very good","9","8"
"80","26","Very happy","Tenth step","Satisfied","Very good","9","9"
"81","46","Not very happy","Tenth step","7","Good","8","6"
"82","38","Quite happy","Eigth step","4","Good","9","7"
"83","40","Not very happy","Nineth step","8","Fair","9","6"
"84","43","Quite happy","Nineth step","8","Good","3","6"
"85","35","Quite happy","Nineth step","Satisfied","Very good","9","8"
"86","30","Very happy","Tenth step","9","Very good","9","8"
"87","34","Quite happy","Sixth step","7","Fair","7","3"
"88","24","Very happy","Sixth step","Satisfied","Very good","8","6"
"90","54","Quite happy","Nineth step","8","Very good","7","7"
"91","33","Quite happy","Lower step","6","Fair","8","3"
"92","29","Quite happy","Nineth step","9","Very good","6","2"
"93","28","Very happy","Nineth step","9","Good","9","6"
"94","27","Very happy","Nineth step","Satisfied","Good","9","2"
"95","20","Quite happy","Tenth step","8","Good","9","5"
"96","30","Quite happy","Eigth step","9","Very good","8","8"
"97","30","Quite happy","Eigth step","5","Poor","5","6"
"98","53","Very happy","Tenth step","Satisfied","Good","8","9"
"99","51","Quite happy","Tenth step","8","Good","8","9"
"100","25","Very happy","Sixth step","9","Very good","9","5"
"101","48","Very happy","Nineth step","9","Very good","9","8"
"102","36","Quite happy","Fourth step","5","Fair","6","4"
"104","50","Quite happy","Seventh step","6","Good","7","3"
"105","36","Quite happy","Tenth step","2","Fair","9","2"
"106","40","Very happy","Tenth step","Satisfied","Good","9","9"
"107","70","Quite happy","Third step","Satisfied","Good","9","Satisfied"
"108","67","Not very happy","Fourth step","6","Poor","None at all","5"
"109","77","Quite happy","Third step","5","Poor","6","4"
"110","32","Very happy","Nineth step","9","Very good","A great deal","8"
"111","41","Quite happy","Tenth step","9","Good","9","8"
"112","39","Quite happy","Tenth step","8","Good","8","8"
"113","34","Quite happy","Eigth step","7","Good","A great deal","6"
"114","25","Quite happy","Nineth step","4","Very good","7","4"
"115","37","Not very happy","Nineth step","3","Good","8","8"
"116","49","Quite happy","Nineth step","9","Good","9","8"
"117","28","Very happy","Tenth step","9","Very good","6","7"
"118","36","Quite happy","Eigth step","8","Good","8","8"
"119","34","Quite happy","Fifth step","9","Good","A great deal","2"
"120","26","Quite happy","Eigth step","4","Very good","8","8"
"121","29","Quite happy","Seventh step","8","Very good","8","6"
"122","39","Quite happy","Eigth step","9","Very good","9","9"
"123","34","Quite happy","Nineth step","9","Very good","A great deal","7"
"124","47","Not at all happy","Tenth step","3","Good","8","3"
"125","28","Not very happy","Sixth step","6","Very good","7","3"
"126","18","Quite happy","Seventh step","9","Very good","9","8"
"127","42","Not very happy","Nineth step","3","Fair","6","6"
"128","47","Quite happy","Tenth step","8","Very good","9","9"
"129","40","Very happy","Tenth step","9","Very good","9","8"
"130","25","Not very happy","Fourth step","3","Fair","7","3"
"131","26","Quite happy","Nineth step","7","Very good","9","Dissatisfied"
"132","35","Quite happy","Eigth step","9","Good","8","7"
"133","45","Very happy","Eigth step","8","Very good","7","8"
"134","26","Quite happy","Eigth step","9","Good","A great deal","8"
"135","41","Quite happy","Tenth step","9","Fair","7","9"
"136","33","Very happy","Tenth step","Satisfied","Good","A great deal","8"
"137","49","Quite happy","Nineth step","9","Very good","A great deal","7"
"138","21","Quite happy","Tenth step","8","Very good","7","5"
"139","41","Quite happy","Nineth step","6","Very good","8","5"
"140","29","Quite happy","Fifth step","6","Poor","8","Dissatisfied"
"141","39","Quite happy","Seventh step","8","Fair","8","5"
"142","33","Quite happy","Eigth step","7","Fair","8","2"
"143","29","Quite happy","Eigth step","8","Very good","8","4"
"145","38","Not very happy","Tenth step","8","Good","9","9"
"146","42","Quite happy","Tenth step","8","Very good","9","9"
"147","39","Not very happy","Nineth step","3","Very good","9","4"
"148","27","Very happy","Nineth step","Satisfied","Very good","9","7"
"149","36","Quite happy","Tenth step","8","Very good","A great deal","4"
"150","18","Quite happy","Third step","5","Fair","6","3"
"151","19","Very happy","Tenth step","9","Good","5","9"
"152","18","Quite happy","Sixth step","8","Fair","9","5"
"153","31","Quite happy","Tenth step","8","Fair","7","8"
"155","30","Quite happy","Nineth step","8","Very good","7","7"
"156","36","Quite happy","Tenth step","9","Very good","8","7"
"157","37","Not very happy","Tenth step","3","Fair","4","6"
"158","46","Quite happy","Tenth step","6","Very good","9","8"
"159","47","Quite happy","Tenth step","7","Good","A great deal","8"
"160","69","Quite happy","Lower step","Satisfied","Fair","A great deal","7"
"161","45","Quite happy","Eigth step","7","Good","7","6"
"162","49","Very happy","Tenth step","Satisfied","Very good","9","Satisfied"
"163","34","Quite happy","Tenth step","9","Good","9","9"
"164","51","Quite happy","Seventh step","6","Very good","9","4"
"165","43","Quite happy","Eigth step","9","Good","8","3"
"166","22","Quite happy","Seventh step","6","Very good","7","6"
"167","56","Not very happy","Nineth step","7","Fair","9","Satisfied"
"168","20","Very happy","Nineth step","9","Very good","A great deal","9"
"169","36","Very happy","Seventh step","Satisfied","Good","9","4"
"170","29","Very happy","Seventh step","8","Very good","7","8"
"171","31","Not very happy","Nineth step","2","Good","7","Dissatisfied"
"172","30","Quite happy","Sixth step","7","Very good","7","7"
"173","38","Quite happy","Nineth step","7","Good","6","6"
"174","33","Quite happy","Eigth step","8","Very good","9","4"
"175","18","Quite happy","Eigth step","8","Fair","8","7"
"176","35","Quite happy","Nineth step","8","Very good","9","8"
"177","30","Not very happy","Tenth step","5","Fair","9","8"
"178","49","Not very happy","Tenth step","7","Very good","6","7"
"179","49","Quite happy","Nineth step","8","Very good","8","4"
"180","38","Quite happy","Eigth step","9","Very good","A great deal","6"
"181","23","Not very happy","Lower step","3","Poor","9","Dissatisfied"
"182","30","Very happy","Tenth step","Satisfied","Very good","9","Satisfied"
"183","29","Very happy","Seventh step","Satisfied","Very good","A great deal","9"
"184","28","Very happy","Sixth step","9","Very good","8","9"
"185","30","Quite happy","Fifth step","8","Good","6","4"
"189","37","Quite happy","Tenth step","4","Fair","6","4"
"190","18","Very happy","Tenth step","7","Good","4","8"
"191","74","Not very happy","Third step","6","Fair","6","5"
"192","43","Not very happy","Nineth step","7","Very good","3","4"
"193","43","Not very happy","Eigth step","7","Fair","7","7"
"194","43","Quite happy","Seventh step","7","Good","8","3"
"195","19","Quite happy","Nineth step","Satisfied","Good","8","4"
"196","37","Quite happy","Nineth step","9","Good","6","8"
"197","45","Very happy","Nineth step","9","Very good","8","Satisfied"
"198","68","Quite happy","Nineth step","7","Good","7","8"
"199","26","Quite happy","Nineth step","8","Good","8","8"
"200","28","Quite happy","Nineth step","4","Fair","8","5"
"201","39","Quite happy","Tenth step","8","Fair","8","7"
"202","49","Not very happy","Nineth step","5","Fair","3","4"
"203","41","Quite happy","Nineth step","8","Very good","8","7"
"204","39","Quite happy","Sixth step","7","Fair","7","5"
"205","36","Quite happy","Tenth step","7","Very good","9","8"
"206","37","Very happy","Nineth step","Satisfied","Very good","A great deal","9"
"207","64","Quite happy","Tenth step","9","Good","9","8"
"209","31","Very happy","Nineth step","Satisfied","Very good","5","6"
"210","36","Quite happy","Nineth step","8","Good","9","3"
"211","37","Quite happy","Fourth step","7","Fair","8","6"
"212","40","Quite happy","Sixth step","Satisfied","Good","9","8"
"213","27","Very happy","Eigth step","9","Very good","A great deal","Satisfied"
"214","65","Quite happy","Eigth step","8","Good","8","9"
"215","65","Quite happy","Eigth step","8","Good","8","9"
"216","41","Quite happy","Tenth step","5","Good","5","5"
"217","70","Quite happy","second step","5","Fair","5","5"
"218","27","Quite happy","Fifth step","9","Good","A great deal","3"
"219","36","Not very happy","Nineth step","3","Fair","9","5"
"220","29","Very happy","Nineth step","Satisfied","Very good","5","Satisfied"
"221","42","Very happy","Tenth step","Dissatisfied","Very good","9","Dissatisfied"
"222","66","Quite happy","Seventh step","6","Fair","8","6"
